ALUMINA   VolErg  4.7700000000E+02
ALUMINA   LatErg  6.0000000000E-02
ALUMINA   n-plc   3.0000000000E+00
MOLYBDM   ShrMod  1.1297057232E+02
MAGNESIA  BdyD0   1.3600000000E-15
ALPHA-ZR  T-dep   8.2488447320E-01
ALPHA-FE  VolErg  2.3900000000E+02
ALPHA-TI  BdyD0   3.6000000000E-16
ALPHA-ZR  BdyErg  1.2400000000E+02
URANIA    Omega   4.0900000000E-29
URANIA    VolD0   1.2000000000E-05
TUNGSTEN  LatErg  6.0000000000E-02
BETA-ZR   BdyErg  1.8000000000E+02
SS-304    plcErg  2.8000000000E+02
BETA-ZR   plcErg  1.8400000000E+02
MAGNESIA  ShrMod  1.0651734720E+02
MO-TEST   Omega   1.5300000000E-29
SILVER    VolD0   4.4000000000E-05
TIN       BdyErg  3.9900000000E+01
BETA-TI   n-plc   4.3000000000E+00
NICKEL    Omega   1.0900000000E-29
BETA-ZR   T-melt  2.1300000000E+03
SILVER    ObsSrs  1.3000000000E-03
SILVER    VolErg  1.8500000000E+02
Y-BA-CUO  T-dep   4.5161290323E-01
SS-316    CorErg  1.6700000000E+02
Y-BA-CUO  CorD0   1.0000000000E-23
T-STEEL   CorD0   1.0000000000E-23
NICKEL    T-dep   5.7593326382E-01
TUNGSTEN  T-melt  3.6830000000E+03
MAR-M200  Omega   1.1000000000E-29
Y-BA-CUO  ObsErg  5.0000000000E-01
T-STEEL   Burgr   2.1509206647E-10
NICKEL    ObsErg  5.0000000000E-01
SS-304    CorD0   1.0000000000E-23
Y-BA-CUO  ObsSrs  1.3000000000E-03
URANIA    LatSrs  6.0000000000E-03
URANIA    BdyErg  2.9300000000E+02
MAR-M200  BdyD0   2.8000000000E-15
LEAD      VolD0   1.3700000000E-04
MAGNESIA  LatErg  6.0000000000E-02
BETA-TI   LatErg  6.0000000000E-02
MAGNESIA  T-dep   6.3832982878E-01
Y-BA-CUO  plcErg  1.6400000000E+02
MOLYBDM   n-plc   4.8500000000E+00
BETA-ZR   ObsSrs  1.3000000000E-03
TIN       Burgr   2.8306070763E-10
BETA-TI   T-dep   4.6394230769E-01
ALPHA-TI  Srsplc  1.2000000000E+01
URANIA    Srsplc  1.7000000000E+02
